peclet,sherwood
1.000000000000000056e-01,5.629648660436905594e-01
1.250000000000000000e-01,6.557727317177637349e-01
2.000000000000000111e-01,8.590249893111742141e-01
2.999999999999999889e-01,1.016175290386862828e+00
5.000000000000000000e-01,1.156204455201282899e+00
6.999999999999999556e-01,1.215752384007897202e+00
1.000000000000000000e+00,1.266823929824689277e+00
1.250000000000000000e+00,1.299233168833036967e+00
2.000000000000000000e+00,1.381271032740119864e+00
3.000000000000000000e+00,1.474125597698607848e+00
5.000000000000000000e+00,1.622788291456552567e+00
7.000000000000000000e+00,1.739788950680281054e+00
1.000000000000000000e+01,1.881452901572648884e+00
1.250000000000000000e+01,1.980135527160176601e+00
2.000000000000000000e+01,2.216148013996420918e+00
3.000000000000000000e+01,2.454136929968190106e+00
5.000000000000000000e+01,2.806417522506658102e+00
7.000000000000000000e+01,3.074952627523312110e+00
1.000000000000000000e+02,3.395608744432168979e+00
1.250000000000000000e+02,3.617012191518849118e+00
2.000000000000000000e+02,4.142061495475656052e+00
3.000000000000000000e+02,4.667187381741443097e+00
5.000000000000000000e+02,5.439584687200245128e+00
7.000000000000000000e+02,6.025806203803236727e+00
1.000000000000000000e+03,6.723902544869447162e+00
1.250000000000000000e+03,7.205038763012646008e+00
2.000000000000000000e+03,8.344038885763946922e+00
3.000000000000000000e+03,9.481387398663672528e+00
5.000000000000000000e+03,1.115351762361402166e+01
7.000000000000000000e+03,1.242191208902532651e+01
1.000000000000000000e+04,1.392500297220175653e+01
1.250000000000000000e+04,1.495247454320946900e+01
2.000000000000000000e+04,1.737180541384169885e+01
3.000000000000000000e+04,1.983526818994961971e+01
5.000000000000000000e+04,2.361997995153429031e+01
7.000000000000000000e+04,2.653650493899496965e+01
1.000000000000000000e+05,2.998403578677293879e+01
1.250000000000000000e+05,3.238283880613450805e+01
2.000000000000000000e+05,3.797026584827823115e+01
3.000000000000000000e+05,4.339521180164795311e+01
5.000000000000000000e+05,5.794460997497194654e+01
7.000000000000000000e+05,7.924590300331543347e+01
1.000000000000000000e+06,1.120019357663590256e+02
