Peclet	r_syf	Sherwood
0.1	0	0.6200156843941395
0.2	0	0.8872266585111355
0.5	0	1.1280830905927957
1.0	0	1.2386765822659234
1.4	0	1.2973840135513286
1.9	0	1.3589696596260188
2.7	0	1.4410829683289637
3.7	0	1.525926187448807
5.2	0	1.6356018483635915
7.2	0	1.7502560320227831
10.0	0	1.881407344237878
14.0	0	2.0333815031985782
19.0	0	2.18836287396729
27.0	0	2.388939470141397
37.0	0	2.5911886127760244
52.0	0	2.836108399580246
72.0	0	3.098848420858003
100.0	0	3.3955778820062825
140.0	0	3.7360321280514417
190.0	0	4.08058761811017
270.0	0	4.523732019926899
370.0	0	4.968315063938509
520.0	0	5.5045579472769885
720.0	0	6.077955967477268
1000.0	0	6.7238813186920865
1400.0	0	7.463461827688102
1900.0	0	8.21077175259514
2700.0	0	9.170645265994775
3700.0	0	10.132605413152293
5200.0	0	11.292010141833401
7200.0	0	12.531055202183138
10000.0	0	13.926102524988368
14000.0	0	15.522300123560584
19000.0	0	17.131518677741536
27000.0	0	19.181904042344787
37000.0	0	21.217861997474266
52000.0	0	23.77686920148402
72000.0	0	26.446003035101846
100000.0	0	29.462946894873525
140000.0	0	32.88768605661298
190000.0	0	36.289419746774996
270000.0	0	40.64823577916966
370000.0	0	45.10430204618285
520000.0	0	50.57673282320753
720000.0	0	56.363112513772705
1000000.0	0	62.53211761409952
1400000.0	0	69.00374991366641
1900000.0	0	75.12444892421837
2700000.0	0	83.0114534686038
3700000.0	0	91.40813202811817
5200000.0	0	102.0506584763812
7200000.0	0	113.69312435859567
10000000.0	0	128.83740429088175
14000000.0	0	153.8511678254755
19000000.0	0	191.86841522413
27000000.0	0	263.54534724346786
37000000.0	0	360.99157599886917
52000000.0	0	497.4713899239242
72000000.0	0	645.1597014870434
100000000.0	0	835.7479337855625
140000000.0	0	1215.9666330787077
190000000.0	0	1961.9234040672218
270000000.0	0	3623.399088500184
370000000.0	0	6046.739039376828
520000000.0	0	9754.041560602189
720000000.0	0	14436.09128065844
1000000000.0	0	20550.370437361584
1400000000.0	0	29109.386207278847
1900000000.0	0	40606.518015820424
2700000000.0	0	62480.42365300195
3700000000.0	0	96831.33135976923
5200000000.0	0	160890.0218131122
7200000000.0	0	260814.24614413187
10000000000.0	0	412563.15296754596
14000000000.0	0	636548.0984707808
19000000000.0	0	921041.8731636314
27000000000.0	0	1383893.0383370577
37000000000.0	0	1969708.6151768914
52000000000.0	0	2848675.270417756
72000000000.0	0	4005828.584429013
0.1	0.001	0.620010091767179
0.2	0.001	0.8872079367353227
0.5	0.001	1.128037493858213
1.0	0.001	1.2386518317619093
1.4	0.001	1.2973936938152792
1.9	0.001	1.35902639141329
2.7	0.001	1.4412167837550651
3.7	0.001	1.5261555983814328
5.2	0.001	1.6359724263979287
7.2	0.001	1.750805070836255
10.0	0.001	1.8821919821074344
14.0	0.001	2.034480608816028
19.0	0.001	2.189827772623677
27.0	0.001	2.3909445651893244
37.0	0.001	2.5938140783157064
52.0	0.001	2.839586280876537
72.0	0.001	3.103363519466845
100.0	0.001	3.4014168279577386
140.0	0.001	3.743588892383154
190.0	0.001	4.090099138334206
270.0	0.001	4.536077378223573
370.0	0.001	4.983865049450485
520.0	0.001	5.524455419293185
720.0	0.001	6.10308609017705
1000.0	0.001	6.755629777863831
1400.0	0.001	7.503730933565256
1900.0	0.001	8.260673638457394
2700.0	0.001	9.234432697630208
3700.0	0.001	10.212021094401754
5200.0	0.001	11.392540817604269
7200.0	0.001	12.656903224597906
10000.0	0.001	14.083876478086884
14000.0	0.001	15.721117972294445
19000.0	0.001	17.376760103230673
27000.0	0.001	19.494922349368917
37000.0	0.001	21.61067877505676
52000.0	0.001	24.265435336165112
72000.0	0.001	27.057364226511158
100000.0	0.001	30.226430354241824
140000.0	0.001	33.84315180505332
190000.0	0.001	37.467852239660864
270000.0	0.001	42.163057594932724
370000.0	0.001	46.995916573602216
520000.0	0.001	52.94778638435806
720000.0	0.001	59.281562482354865
1000000.0	0.001	66.16081221123027
1400000.0	0.001	73.64247850905085
1900000.0	0.001	80.98247023690048
2700000.0	0.001	90.41918448325008
3700000.0	0.001	99.89475496548955
5200000.0	0.001	111.0833914862395
7200000.0	0.001	123.53016933859887
10000000.0	0.001	142.0658346114444
14000000.0	0.001	175.29857642992658
19000000.0	0.001	226.7062725280224
27000000.0	0.001	324.25101418070943
37000000.0	0.001	449.2646067694145
52000000.0	0.001	590.5244691433627
72000000.0	0.001	671.8280902794893
100000000.0	0.001	672.4942389969804
140000000.0	0.001	666.1663350633474
190000000.0	0.001	859.3833494393014
270000000.0	0.001	1806.1151037338793
370000000.0	0.001	3990.601373632779
520000000.0	0.001	8583.299191813594
720000000.0	0.001	15324.13156943427
1000000000.0	0.001	22865.956914701903
1400000000.0	0.001	26867.90577731096
1900000000.0	0.001	21568.497112729227
2700000000.0	0.001	-1528.8149493724545
3700000000.0	0.001	-40827.0891909632
5200000000.0	0.001	-103308.56156975508
7200000000.0	0.001	-183474.7505910397
10000000000.0	0.001	-293429.0824324118
14000000000.0	0.001	-458574.76018442324
19000000000.0	0.001	-678504.6923154265
27000000000.0	0.001	-1027893.8982029272
37000000000.0	0.001	-1410551.528407381
52000000000.0	0.001	-1840162.5613646954
72000000000.0	0.001	-2187016.2099262713
0.1	0.002	0.6200045127672882
0.2	0.002	0.8871892586423329
0.5	0.002	1.1279920254396254
1.0	0.002	1.2386272503028195
1.4	0.002	1.297403543312989
1.9	0.002	1.3590832888398294
2.7	0.002	1.44135076465442
3.7	0.002	1.5263851875426604
5.2	0.002	1.636343226101504
7.2	0.002	1.751354425680072
10.0	0.002	1.8829771249142473
14.0	0.002	2.0355805709109327
19.0	0.002	2.1912940636363807
27.0	0.002	2.392952064548531
37.0	0.002	2.596443397459753
52.0	0.002	2.8430704482079565
72.0	0.002	3.10788847190497
100.0	0.002	3.407271037286953
140.0	0.002	3.7511692048734813
190.0	0.002	4.099645178570784
270.0	0.002	4.548475748378103
370.0	0.002	4.999492237873377
520.0	0.002	5.544467850300591
720.0	0.002	6.128383327493454
1000.0	0.002	6.787620653725631
1400.0	0.002	7.544353060106912
1900.0	0.002	8.31107015188095
2700.0	0.002	9.298946445244901
3700.0	0.002	10.29245845695271
5200.0	0.002	11.49454406521472
7200.0	0.002	12.78483503022761
10000.0	0.002	14.244603476600837
14000.0	0.002	15.924154148484346
19000.0	0.002	17.627844576634775
27000.0	0.002	19.81651672367547
37000.0	0.002	22.01550290106319
52000.0	0.002	24.77070602022531
72000.0	0.002	27.691942105268087
100000.0	0.002	31.02225732456282
140000.0	0.002	34.84512030397944
190000.0	0.002	38.71141737732889
270000.0	0.002	43.77070782050709
370000.0	0.002	49.011796627547874
520000.0	0.002	55.49365687506615
720000.0	0.002	62.455136214550656
1000000.0	0.002	70.17150082496818
1400000.0	0.002	78.83819956082968
1900000.0	0.002	87.54935998101938
2700000.0	0.002	98.62084798964167
3700000.0	0.002	109.20958469122749
5200000.0	0.002	121.2989142822481
